variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
pre_visit_dance,c1_r75m,1,75.000000,403,0.033347,0.048756,0.362035,0.280289,0.666258,0.003056,0.001000,1.000000,1.000000,0.381973
pre_visit_dance,c1_r75m,1,75.000000,405,0.027657,0.028590,0.215420,0.511907,0.502680,0.003889,0.001000,1.000000,1.000000,0.345904
pre_visit_dance,c1_r75m,1,75.000000,404,0.037592,0.036320,0.302900,0.358026,0.449951,0.003750,0.001000,1.000000,1.000000,0.472535
pre_visit_dance,c1_r75m,1,75.000000,406,0.038635,0.031569,0.205578,0.192800,0.627006,0.003722,0.001000,1.000000,1.000000,0.207988
pre_visit_dance,c1_r75m,1,75.000000,408,0.037679,0.051448,0.532424,0.191680,0.787179,0.001750,0.001000,1.000000,1.000000,0.275642
pre_visit_dance,c1_r75m,1,75.000000,407,0.004464,0.022380,0.159030,0.166363,0.379948,0.002472,0.001000,1.000000,1.000000,0.165114
pre_visit_dance,c1_r75m,1,75.000000,409,0.010733,0.022531,0.226600,0.553436,0.628777,0.005000,0.001000,1.000000,1.000000,0.546351
pre_visit_dance,c1_r75m,1,75.000000,410,0.021390,0.031036,0.234026,0.346762,0.515650,0.001083,0.001000,1.000000,1.000000,0.390626
pre_visit_dance,c1_r75m,1,75.000000,411,0.029851,0.012017,0.155961,0.385895,0.674620,0.000944,0.001000,1.000000,1.000000,0.431421
pre_visit_dance,c1_r75m,1,75.000000,413,0.064516,0.041728,0.230397,0.474911,0.517657,0.001694,0.001000,1.000000,1.000000,0.641572
pre_visit_dance,c1_r75m,1,75.000000,412,0.026660,0.030931,0.223647,0.432424,0.629332,0.003167,0.001000,1.000000,1.000000,0.325944
pre_visit_dance,c1_r75m,1,75.000000,414,0.081564,0.037314,0.389213,0.303563,0.537514,0.003333,0.001000,1.000000,1.000000,0.316747
pre_visit_dance,c1_r75m,1,75.000000,415,0.014090,0.022368,0.353408,0.357346,0.700964,0.003667,0.001000,1.000000,1.000000,0.402601
pre_visit_dance,c1_r75m,1,75.000000,416,0.035887,0.028904,0.531994,0.339789,0.485225,0.001278,0.001000,1.000000,1.000000,0.330015
