candidate,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
trial_424,comparison,successful,35,"111,112,114,115,116,117,118,119,120,121,122,123,124,125,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,145,146,147,148",1.000,1.000,1.000,0.000,51.229,48.600,24.943,23.400,0.904,0.865,0.108,0.751,0.748,0.797,0.027,0.852,0.450,5.794
trial_424,comparison,unsuccessful,5,"110,113,126,144,149",0.000,1.000,0.200,0.000,44.800,46.000,21.400,25.400,0.905,0.842,0.108,0.652,0.709,0.722,0.036,0.801,0.435,5.404
trial_424,outcome,gravity_without_vertical,4,"110,113,144,149",0.000,1.000,0.000,0.000,44.500,46.000,19.750,24.500,0.900,0.863,0.109,0.618,0.755,0.785,0.028,0.792,0.440,5.482
trial_424,outcome,success,35,"111,112,114,115,116,117,118,119,120,121,122,123,124,125,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,145,146,147,148",1.000,1.000,1.000,0.000,51.229,48.600,24.943,23.400,0.904,0.865,0.108,0.751,0.748,0.797,0.027,0.852,0.450,5.794
trial_424,outcome,vertical_without_gravity,1,126,0.000,1.000,1.000,0.000,46.000,46.000,28.000,29.000,0.927,0.762,0.103,0.788,0.527,0.470,0.067,0.834,0.418,5.092
trial_175,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.900,1.000,0.900,0.000,54.850,48.025,28.100,25.875,0.906,0.870,0.100,0.770,0.774,0.795,0.036,0.853,0.421,4.812
trial_175,comparison,successful,36,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,135,136,137,138,139,140,141,142,144,145,146,149",1.000,1.000,1.000,0.000,54.917,48.389,28.056,26.194,0.906,0.872,0.101,0.771,0.784,0.799,0.039,0.861,0.422,4.857
trial_175,comparison,unsuccessful,4,"134,143,147,148",0.000,1.000,0.000,0.000,54.250,44.750,28.500,23.000,0.906,0.852,0.096,0.759,0.682,0.766,0.012,0.782,0.404,4.413
trial_175,outcome,gravity_without_vertical,4,"134,143,147,148",0.000,1.000,0.000,0.000,54.250,44.750,28.500,23.000,0.906,0.852,0.096,0.759,0.682,0.766,0.012,0.782,0.404,4.413
trial_175,outcome,success,36,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,135,136,137,138,139,140,141,142,144,145,146,149",1.000,1.000,1.000,0.000,54.917,48.389,28.056,26.194,0.906,0.872,0.101,0.771,0.784,0.799,0.039,0.861,0.422,4.857
trial_176,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.900,1.000,0.900,0.000,54.850,48.025,28.100,25.875,0.906,0.870,0.100,0.770,0.774,0.795,0.036,0.853,0.421,4.812
trial_176,comparison,successful,36,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,135,136,137,138,139,140,141,142,144,145,146,149",1.000,1.000,1.000,0.000,54.917,48.389,28.056,26.194,0.906,0.872,0.101,0.771,0.784,0.799,0.039,0.861,0.422,4.857
