variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
tournament,c1_r75m,1,75.000000,412,0.000000,0.080758,0.754161,0.217508,0.844348,0.000139,0.001000,1.000000,1.000000,0.380434
tournament,c1_r75m,1,75.000000,413,0.000000,0.000000,0.186065,0.194266,0.201900,0.000000,0.001000,1.000000,1.000000,0.122907
tournament,c1_r75m,1,75.000000,425,0.000000,0.049667,0.239304,0.211636,0.777201,0.000028,0.001000,1.000000,1.000000,0.282456
tournament,c1_r75m,1,75.000000,414,0.000000,0.041667,0.198928,0.417837,0.573321,0.000028,0.001000,1.000000,1.000000,0.243964
tournament,c1_r75m,1,75.000000,418,-0.058824,-0.020168,0.340243,0.120333,0.160769,0.000139,0.001000,1.000000,1.000000,0.090000
tournament,c1_r75m,1,75.000000,426,0.000000,0.000000,0.351550,0.288342,0.658010,0.000083,0.001000,1.000000,1.000000,0.178883
tournament,c1_r75m,1,75.000000,427,0.111111,0.034641,0.362321,0.804693,0.529596,0.000083,0.001000,1.000000,1.000000,0.548936
tournament,c1_r75m,1,75.000000,428,-0.200000,-0.027143,0.660469,0.117426,0.687484,0.000083,0.001000,1.000000,1.000000,0.092380
tournament,c1_r75m,1,75.000000,429,0.000000,-0.025000,0.244806,0.224123,0.684370,0.000000,0.001000,1.000000,1.000000,0.139518
tournament,c1_r75m,1,75.000000,434,0.000000,0.009325,0.506198,0.140194,0.548185,0.000139,0.001000,1.000000,1.000000,0.228990
tournament,c1_r75m,1,75.000000,422,0.000000,0.000000,0.592649,0.350715,0.379239,0.000028,0.001000,1.000000,1.000000,0.222857
tournament,c1_r75m,1,75.000000,437,0.000000,0.033333,0.381772,0.277465,0.754643,0.000028,0.001000,1.000000,1.000000,0.082500
tournament,c1_r75m,1,75.000000,424,0.000000,0.050000,0.622235,0.439527,0.421298,0.000000,0.001000,1.000000,1.000000,0.311386
tournament,c1_r75m,1,75.000000,440,0.000000,0.000000,0.390109,0.286489,0.379262,0.000028,0.001000,1.000000,1.000000,0.199425
tournament,c1_r75m,1,75.000000,441,0.000000,0.031250,0.371128,0.310093,0.795940,0.000083,0.001000,1.000000,1.000000,0.094372
tournament,c1_r75m,1,75.000000,442,0.000000,0.006140,0.244208,0.427333,0.549243,0.000056,0.001000,1.000000,1.000000,0.295376
tournament,c1_r75m,1,75.000000,443,1.000000,0.075000,0.690907,0.402446,0.645111,0.000056,0.001000,1.000000,1.000000,0.208586
tournament,c1_r75m,1,75.000000,430,0.000000,0.104286,0.437563,0.587106,0.429299,0.000056,0.001000,1.000000,1.000000,0.383772
tournament,c1_r75m,1,75.000000,432,0.000000,0.008462,0.347053,0.244599,0.770007,0.000028,0.001000,1.000000,0.998333,0.112965
tournament,c1_r75m,1,75.000000,431,0.000000,-0.001948,0.272511,0.218505,0.766998,0.000056,0.001000,1.000000,1.000000,0.063143
tournament,c1_r75m,1,75.000000,433,0.000000,-0.004348,0.226586,0.320719,0.478629,0.000056,0.001000,1.000000,1.000000,0.058712
tournament,c1_r75m,1,75.000000,444,0.000000,0.055789,0.127997,0.351511,0.656376,0.000000,0.001000,1.000000,1.000000,0.308745
