number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
140,COMPLETE,7.986,10,0.220,16,1.000,0.500,8.500,0.020,0.090,0.900,7,10,0,0.986,0.482,6.208,0.838,0.719,1040.633
141,COMPLETE,8.994,10,0.250,16,1.000,0.540,8.500,0.020,0.090,0.900,8,10,0,0.994,0.534,7.319,0.844,0.738,1066.720
142,COMPLETE,7.957,10,0.220,16,1.000,0.540,8.500,0.020,0.090,0.900,7,10,0,0.957,0.480,6.313,0.830,0.692,998.196
143,COMPLETE,7.986,10,0.220,16,1.000,0.500,8.500,0.020,0.090,0.900,7,10,0,0.986,0.482,6.208,0.838,0.719,1044.680
144,COMPLETE,4.978,10,0.220,16,1.000,0.500,5.500,0.020,0.130,0.900,4,10,0,0.978,0.527,7.140,0.795,0.704,1131.367
145,COMPLETE,7.988,10,0.220,16,1.000,0.500,5.500,0.020,0.090,0.900,7,10,0,0.988,0.552,7.596,0.820,0.718,1098.159
146,COMPLETE,3.970,10,0.220,16,1.000,0.500,9.000,0.020,0.100,0.900,3,10,0,0.970,0.450,5.535,0.788,0.704,1041.645
147,COMPLETE,9.994,8,0.220,16,1.000,0.500,8.000,0.020,0.090,0.900,9,10,0,0.994,0.452,5.665,0.839,0.787,959.401
148,COMPLETE,4.949,10,0.220,16,1.000,0.500,8.000,0.020,0.090,0.900,4,10,0,0.949,0.500,6.481,0.811,0.681,1052.062
149,COMPLETE,11.000,8,0.220,16,1.000,0.540,8.000,0.020,0.090,0.900,10,10,0,1.000,0.454,5.827,0.847,0.788,1006.508
150,COMPLETE,11.000,8,0.220,16,1.000,0.540,8.000,0.020,0.090,0.900,10,10,0,1.000,0.454,5.827,0.847,0.788,1015.674
151,COMPLETE,9.994,8,0.220,16,1.000,0.500,8.000,0.020,0.090,0.900,9,10,0,0.994,0.452,5.665,0.839,0.787,980.871
152,COMPLETE,11.000,10,0.210,13,1.000,0.540,8.000,0.020,0.090,0.900,10,10,0,1.000,0.478,6.258,0.821,0.715,1099.069
153,COMPLETE,8.999,8,0.210,13,1.000,0.580,8.000,0.020,0.090,0.900,8,10,0,0.999,0.438,5.673,0.842,0.828,987.673
154,COMPLETE,9.987,10,0.210,13,1.000,0.580,8.000,0.020,0.090,0.900,9,10,0,0.987,0.488,6.616,0.846,0.729,1077.824
155,COMPLETE,11.000,8,0.210,13,1.000,0.560,8.000,0.020,0.090,0.900,10,10,0,1.000,0.438,5.616,0.852,0.800,1023.219
156,COMPLETE,9.997,8,0.230,13,1.000,0.540,8.000,0.020,0.090,0.900,9,10,0,0.997,0.463,6.033,0.850,0.764,1066.431
157,COMPLETE,8.999,8,0.210,13,1.000,0.580,8.000,0.020,0.090,0.900,8,10,0,0.999,0.438,5.673,0.842,0.828,1006.993
158,COMPLETE,11.000,8,0.210,13,1.000,0.560,8.000,0.020,0.090,0.900,10,10,0,1.000,0.438,5.616,0.852,0.800,1057.577
159,COMPLETE,8.988,8,0.210,13,1.000,0.560,8.000,0.020,0.130,0.900,8,10,0,0.988,0.401,4.960,0.821,0.692,1046.651
160,COMPLETE,8.999,8,0.210,13,1.000,0.580,8.000,0.020,0.090,0.900,8,10,0,0.999,0.438,5.673,0.842,0.828,1040.640
161,COMPLETE,11.000,8,0.210,13,1.000,0.560,8.000,0.020,0.090,0.900,10,10,0,1.000,0.438,5.616,0.852,0.800,1059.426
162,COMPLETE,8.940,10,0.210,13,1.000,0.580,8.000,0.025,0.080,0.900,8,10,0,0.940,0.494,6.256,0.851,0.691,1070.998
163,COMPLETE,3.953,8,0.210,13,1.000,0.560,8.000,0.025,0.130,0.900,3,10,0,0.953,0.410,4.556,0.784,0.695,1023.332
164,COMPLETE,11.000,7,0.210,13,1.000,0.560,8.000,0.025,0.090,0.900,10,10,0,1.000,0.406,4.542,0.856,0.804,979.841
165,COMPLETE,10.000,8,0.210,13,1.000,0.580,8.000,0.025,0.090,0.900,9,10,0,1.000,0.435,5.097,0.844,0.796,1023.060
166,COMPLETE,9.999,8,0.210,13,1.000,0.560,8.000,0.025,0.080,0.900,9,10,0,0.999,0.442,5.167,0.837,0.809,1003.821
167,COMPLETE,9.992,8,0.230,13,1.000,0.560,8.000,0.025,0.080,0.900,9,10,0,0.992,0.473,5.809,0.856,0.802,1053.307
168,COMPLETE,11.000,8,0.210,13,1.000,0.560,8.000,0.025,0.090,0.900,10,10,0,1.000,0.438,5.111,0.845,0.778,1041.547
169,COMPLETE,11.000,8,0.190,13,1.000,0.560,8.000,0.025,0.080,0.900,10,10,0,1.000,0.405,4.496,0.856,0.800,990.542
170,COMPLETE,7.801,7,0.190,13,1.000,0.560,8.000,0.025,0.080,0.900,7,10,0,0.801,0.377,3.723,0.693,0.641,944.904
171,COMPLETE,8.999,8,0.210,13,1.000,0.560,8.000,0.020,0.080,0.900,8,10,0,0.999,0.445,5.729,0.855,0.809,965.363
172,COMPLETE,9.945,8,0.200,13,1.000,0.560,8.000,0.020,0.080,0.900,9,10,0,0.945,0.415,5.168,0.836,0.725,971.807
173,COMPLETE,11.000,8,0.200,13,1.000,0.560,8.000,0.025,0.080,0.900,10,10,0,1.000,0.425,4.915,0.861,0.821,988.070
