seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
97,unsuccessful,flat,24,0.397,0.571,0.263,0.221,0.221,0.042,0.162,0.910,0.205,6.209,0.512,4.672
97,unsuccessful,flat,25,0.434,0.611,0.272,0.250,0.250,0.022,0.180,1.550,0.114,5.998,0.505,4.663
97,unsuccessful,flat,26,0.468,0.629,0.279,0.238,0.238,0.042,0.183,2.428,0.071,6.379,0.526,4.863
97,unsuccessful,flat,27,0.492,0.677,0.341,0.270,0.270,0.070,0.203,2.551,0.203,6.301,0.532,5.002
97,unsuccessful,flat,28,0.513,0.629,0.348,0.271,0.271,0.078,0.211,2.260,0.239,6.358,0.533,5.001
97,unsuccessful,flat,29,0.475,0.630,0.310,0.237,0.237,0.073,0.205,2.215,0.255,6.537,0.540,5.050
97,unsuccessful,flat,30,0.487,0.608,0.337,0.239,0.239,0.099,0.225,2.273,0.211,6.897,0.555,5.216
97,unsuccessful,flat,31,0.492,0.620,0.317,0.249,0.249,0.068,0.240,2.240,0.238,6.807,0.543,5.088
97,unsuccessful,flat,32,0.506,0.666,0.282,0.241,0.241,0.041,0.251,2.349,0.242,6.622,0.547,5.222
97,unsuccessful,flat,33,0.498,0.729,0.291,0.290,0.290,0.001,0.232,2.061,0.213,6.409,0.540,5.135
97,unsuccessful,flat,34,0.507,0.742,0.298,0.270,0.270,0.027,0.293,1.221,0.180,6.687,0.554,5.340
97,unsuccessful,flat,35,0.579,0.786,0.227,0.217,0.217,0.009,0.227,1.836,0.154,6.908,0.579,5.561
97,unsuccessful,flat,36,0.600,0.759,0.242,0.235,0.235,0.007,0.255,1.642,0.260,7.067,0.579,5.567
97,unsuccessful,flat,37,0.631,0.717,0.204,0.191,0.191,0.013,0.258,1.561,0.286,7.009,0.576,5.547
97,unsuccessful,flat,38,0.648,0.761,0.270,0.227,0.227,0.043,0.253,0.965,0.197,6.991,0.585,5.664
