condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seed,generation,directional_bias,receiver_attention,search_limit,comb_tilt,success_rate,payoff,follower_success_rate,matched_searcher_success_rate,recruitment_advantage,dance_follow_share
hard,anchor,1,37.500000,6,1.000000,411,2,0.093708,0.114740,2051.491654,0.000000,0.002417,0.001000,0.026316,0.017903,0.008413,0.088578
hard,anchor,1,37.500000,6,1.000000,411,3,0.097859,0.146372,1954.872186,0.000000,0.001556,0.001000,0.000000,0.007463,-0.007463,0.146497
hard,anchor,1,37.500000,6,1.000000,411,4,0.128001,0.155767,1810.982637,0.000000,0.001972,0.001000,0.025974,0.002778,0.023196,0.176201
hard,anchor,1,37.500000,6,1.000000,411,5,0.132651,0.160800,1683.677947,0.000000,0.001833,0.001000,0.000000,0.006116,-0.006116,0.163683
hard,anchor,1,37.500000,6,1.000000,411,6,0.120389,0.172631,1759.479633,0.000000,0.002167,0.001000,0.037975,0.009174,0.028800,0.194581
hard,anchor,1,37.500000,6,1.000000,411,7,0.126142,0.172038,1732.325425,0.000000,0.002250,0.001000,0.013514,0.008108,0.005405,0.166667
hard,anchor,1,37.500000,6,1.000000,411,8,0.110619,0.165399,1696.338783,0.000000,0.001722,0.001000,0.000000,0.006757,-0.006757,0.129412
hard,anchor,1,37.500000,6,1.000000,411,9,0.122205,0.180496,1451.351515,0.000000,0.001222,0.001000,0.064516,0.000000,0.064516,0.134783
hard,anchor,1,37.500000,6,1.000000,411,10,0.113812,0.181507,1480.842156,0.000000,0.001417,0.001000,0.026316,0.004831,0.021485,0.155102
hard,anchor,1,37.500000,6,1.000000,411,11,0.121130,0.164138,1623.085630,0.000000,0.001472,0.001000,0.000000,0.003937,-0.003937,0.121107
hard,anchor,1,37.500000,6,1.000000,411,12,0.120848,0.167176,1362.753264,0.000000,0.001528,0.001000,0.043478,0.026119,0.017359,0.146497
hard,anchor,1,37.500000,6,1.000000,411,13,0.114045,0.186359,1329.561991,0.000000,0.001250,0.001000,0.000000,0.015544,-0.015544,0.185654
hard,anchor,1,37.500000,6,1.000000,411,14,0.127547,0.194322,1257.117338,0.000000,0.001278,0.001000,0.000000,0.004854,-0.004854,0.198444
hard,anchor,1,37.500000,6,1.000000,411,15,0.122062,0.205060,1405.273629,0.000000,0.001444,0.001000,0.060606,0.015464,0.045142,0.253846
hard,anchor,1,37.500000,6,1.000000,411,16,0.131151,0.217836,1272.216017,0.000000,0.001111,0.001000,0.093023,0.005405,0.087618,0.188596
hard,anchor,1,37.500000,6,1.000000,411,17,0.150480,0.261415,1204.719207,0.000000,0.001028,0.001000,0.000000,0.037879,-0.037879,0.190184
hard,anchor,1,37.500000,6,1.000000,411,18,0.117948,0.259054,1163.745850,0.000000,0.001444,0.001000,0.018519,0.008547,0.009972,0.187500
hard,anchor,1,37.500000,6,1.000000,411,19,0.146916,0.284793,1097.573811,0.000000,0.001083,0.001000,0.031746,0.005952,0.025794,0.272727
hard,anchor,1,37.500000,6,1.000000,411,20,0.129250,0.341954,1113.915251,0.000000,0.001389,0.001000,0.062500,0.017442,0.045058,0.271186
hard,anchor,1,37.500000,6,1.000000,411,21,0.122442,0.352646,1300.574281,0.000000,0.001056,0.001000,0.028986,0.018868,0.010118,0.394286
hard,anchor,1,37.500000,6,1.000000,411,22,0.154166,0.355557,1341.938498,0.000000,0.001167,0.001000,0.000000,0.015228,-0.015228,0.202429
hard,anchor,1,37.500000,6,1.000000,411,23,0.139140,0.370259,1675.506708,0.000000,0.001528,0.001000,0.064516,0.005348,0.059169,0.248996
hard,anchor,1,37.500000,6,1.000000,411,24,0.123695,0.401871,1346.892510,0.000000,0.001222,0.001000,0.013514,0.000000,0.013514,0.320346
hard,anchor,1,37.500000,6,1.000000,411,25,0.152405,0.334506,1575.511841,0.000000,0.001750,0.001000,0.016949,0.016064,0.000885,0.321526
hard,anchor,1,37.500000,6,1.000000,411,26,0.170540,0.314544,1693.355235,0.000000,0.001611,0.001000,0.023810,0.015385,0.008425,0.301075
hard,anchor,1,37.500000,6,1.000000,411,27,0.161432,0.320813,1954.008232,0.000000,0.002028,0.001000,0.028302,0.003745,0.024557,0.284182
hard,anchor,1,37.500000,6,1.000000,411,28,0.187278,0.322090,1868.809914,0.000000,0.001361,0.001000,0.000000,0.005291,-0.005291,0.264591
hard,anchor,1,37.500000,6,1.000000,411,29,0.210578,0.290321,1898.656273,0.000000,0.002083,0.001000,0.060606,0.012000,0.048606,0.283668
hard,anchor,1,37.500000,6,1.000000,411,30,0.243737,0.306149,2115.697496,0.000000,0.002361,0.001000,0.025641,0.015337,0.010304,0.264108
hard,anchor,1,37.500000,6,1.000000,411,31,0.236376,0.305134,2287.049091,0.000000,0.002944,0.001000,0.116279,0.005780,0.110499,0.271579
