candidate,seed,stable,collapsed,score,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_dance_propensity
baseline,237,True,False,2.0,1.0,0.3288055555555555,4.847598679540969,0.8573616329195631,0.8879521227376868,0.8895675514580726,0.8879521227376868,0.45517020442310113
baseline,238,True,False,2.0,1.0,0.3008611111111111,4.481005749078556,0.9070786753273476,0.7172747168733157,0.6549536871770558,0.6549536871770558,0.5253549799727939
baseline,239,False,False,0.942737452076023,0.942737452076023,0.30225,4.216015840716533,0.7541899616608184,0.6937342060956376,0.6609975401218571,0.6609975401218571,0.6776885117791461
baseline,240,True,False,2.0,1.0,0.31594444444444447,4.569147567990578,0.8394210934604109,0.7609322961717033,0.7371813971397516,0.7371813971397516,0.5151833333090051
baseline,241,True,False,2.0,1.0,0.3071944444444445,4.425289932546755,0.8314626348515654,0.7440988622144248,0.5908487310644887,0.5908487310644887,0.3582863088972377
baseline,242,True,False,2.0,1.0,0.30897222222222226,4.576654335588393,0.8973885249243845,0.8020872409787991,0.5690011049241187,0.5690011049241187,0.6380943322800781
baseline,243,True,False,2.0,1.0,0.3402777777777778,5.012240524170619,0.8389334523745939,0.8569470044107652,0.7113061492382151,0.7113061492382151,0.6127181275131619
baseline,244,True,False,2.0,1.0,0.3015833333333333,4.428891500525705,0.8629885834031359,0.7249566680937682,0.5762210903717407,0.5762210903717407,0.31058788244565355
baseline,245,True,False,2.0,1.0,0.3313333333333333,4.948073685798085,0.8986365432912888,0.7798420277371663,0.6445977013656384,0.6445977013656384,0.36852560063018136
baseline,246,True,False,2.0,1.0,0.3201111111111111,4.705518252024524,0.862822638860581,0.7714960898996884,0.8205991958977098,0.7714960898996884,0.20066586563205488
baseline,247,True,False,2.0,1.0,0.3326388888888889,4.922190908800299,0.8857659401828978,0.7815847704680847,0.7570773035225741,0.7570773035225741,0.7514273548646232
baseline,248,False,False,0.8670357387447655,0.8670357387447655,0.31666666666666665,4.665197556994914,0.8916568317615897,0.7577032546861953,0.43351786937238274,0.43351786937238274,0.710708979572149
baseline,249,True,False,2.0,1.0,0.33725,5.066591376406645,0.8888762298336618,0.8041418692351289,0.7412856290646358,0.7412856290646358,0.3564213367338381
baseline,250,True,False,2.0,1.0,0.34347222222222223,5.089360396219468,0.8477931444136212,0.8675132076639064,0.8542409353337509,0.8542409353337509,0.7344473062703043
baseline,251,True,False,2.0,1.0,0.32719444444444445,4.7687767327798944,0.817825559775472,0.8322805833335792,0.7765160156382179,0.7765160156382179,0.7553126570756449
baseline,252,True,False,2.0,1.0,0.3263611111111111,4.786823416603886,0.8374242134834874,0.836984000822331,0.8008483053325478,0.8008483053325478,0.5999017977321439
baseline,253,True,False,2.0,1.0,0.31194444444444447,4.607763230169054,0.8702306910298092,0.7775087749963089,0.8447716495183759,0.7775087749963089,0.5693917155438475
baseline,254,True,False,2.0,1.0,0.33261111111111114,4.8785557330372855,0.8284159771716199,0.8537968337644153,0.7685329105712929,0.7685329105712929,0.5467013848375248
baseline,255,True,False,2.0,1.0,0.3346388888888889,4.955851598704762,0.8708888546993614,0.8164272138180909,0.8449631853485889,0.8164272138180909,0.515389553648106
baseline,256,True,False,2.0,1.0,0.33533333333333337,4.945857792873456,0.8598664626753182,0.8528260000585188,0.7658912524831918,0.7658912524831918,0.5122735352864237
baseline,257,True,False,2.0,1.0,0.3314166666666667,4.886298247495055,0.851967902477744,0.8655201842507592,0.7359252235958956,0.7359252235958956,0.28637888712233245
baseline,258,True,False,2.0,1.0,0.33233333333333337,4.944290301855129,0.8903562002068117,0.7942777542261212,0.642130208462118,0.642130208462118,0.5632015836126351
baseline,259,True,False,2.0,1.0,0.3070277777777778,4.527323548378549,0.8752086148706227,0.8338466200258411,0.769991329909714,0.769991329909714,0.2866084597533243
baseline,260,True,False,2.0,1.0,0.31863888888888886,4.626369963686311,0.8305123963810087,0.8049204233310172,0.7127199429579075,0.7127199429579075,0.7879828125346777
baseline,261,True,False,2.0,1.0,0.3133611111111111,4.573710270253196,0.8613707992547036,0.6789160247288071,0.6875352664435568,0.6789160247288071,0.6521126751942946
baseline,262,True,False,2.0,1.0,0.2961944444444445,4.3125491969349286,0.8738613837945591,0.654242976065536,0.7050758249241998,0.654242976065536,0.5907340378047278
baseline,263,True,False,2.0,1.0,0.3292777777777778,4.873578193564338,0.8690348935229937,0.7847152020967949,0.797101856067535,0.7847152020967949,0.6795164955474817
baseline,264,True,False,2.0,1.0,0.33744444444444444,4.887799779626669,0.8103731518504229,0.8582138520758,0.7849255698254584,0.7849255698254584,0.3787587323792938
baseline,265,True,False,2.0,1.0,0.34780555555555553,5.194530668250007,0.8714211488848714,0.9122660682734833,0.8313602344650407,0.8313602344650407,0.46244552129283056
baseline,266,True,False,2.0,1.0,0.31397222222222226,4.520878179038993,0.8157123330273472,0.7729046823442036,0.9055747462344806,0.7729046823442036,0.5870240992475807
baseline,267,True,False,2.0,1.0,0.3343888888888889,4.98652667932315,0.8780350954849127,0.8545787215882086,0.7356387649850917,0.7356387649850917,0.6147385803152478
baseline,268,True,False,2.0,1.0,0.34175,5.083553226398871,0.8724505495445396,0.8847907069985909,0.8352939247943459,0.8352939247943459,0.455910359195158
baseline,269,True,False,2.0,1.0,0.322,4.776616428773124,0.8728071569876265,0.8474907791984777,0.8820470703421462,0.8474907791984777,0.3557010214785968
baseline,270,True,False,2.0,1.0,0.34677777777777774,5.1666662953781115,0.867783718812412,0.8801134387857658,0.7557604864641019,0.7557604864641019,0.4144233401686167
baseline,271,True,False,2.0,1.0,0.32008333333333333,4.7451853007571,0.8746754839052844,0.8423352011221684,0.70314715300787,0.70314715300787,0.6878099362875131
baseline,272,True,False,2.0,1.0,0.31649999999999995,4.684411036266449,0.9066888880954127,0.7828949268924388,0.616504550840969,0.616504550840969,0.49625815732000805
