number,state,value,food_site_count,food_site_radius,food_site_radius_log_sd,food_site_capacity,food_value,vertical_comb_benefit,food_site_min_distance,food_site_max_distance,foray_shape,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity,elapsed_seconds
663,COMPLETE,7.926,3,315.000,0.6,5,,0.540,750.0,6500.000,2.0,1.500000e-05,0.130,1.000,7,10,0,0.926,0.154,1.619,0.761,0.763,0.560,663.940
664,COMPLETE,0.267,3,315.000,0.6,5,,0.200,750.0,6500.000,2.0,1.500000e-05,0.080,1.000,0,10,0,0.267,0.165,1.302,0.221,0.209,0.592,686.180
665,COMPLETE,5.628,3,315.000,0.6,6,,0.540,750.0,6500.000,2.0,1.500000e-05,0.080,1.000,5,10,0,0.628,0.170,1.685,0.543,0.523,0.633,685.040
666,COMPLETE,8.994,8,315.000,0.6,6,,0.540,750.0,6500.000,2.0,1.500000e-05,0.130,1.000,8,10,0,0.994,0.310,4.441,0.825,0.766,0.553,1125.050
667,COMPLETE,0.507,3,315.000,0.6,6,,0.200,750.0,6250.000,2.0,1.500000e-05,0.130,1.000,0,10,0,0.507,0.159,1.320,0.406,0.421,0.663,672.946
668,COMPLETE,2.427,3,315.000,0.6,6,,0.200,750.0,6500.000,2.0,1.500000e-05,0.130,0.700,2,10,0,0.427,0.154,1.206,0.349,0.379,0.565,667.690
669,COMPLETE,0.236,3,315.000,0.6,6,,0.240,750.0,6500.000,2.0,1.500000e-05,0.080,0.700,0,10,0,0.236,0.168,1.359,0.194,0.192,0.637,680.974
670,COMPLETE,5.863,3,315.000,0.6,6,,0.240,750.0,6500.000,2.0,1.000000e-05,0.130,1.000,5,10,0,0.863,0.149,1.526,0.712,0.676,0.647,658.664
671,COMPLETE,0.488,3,315.000,0.6,6,,0.240,750.0,6500.000,2.0,1.500000e-05,0.130,1.000,0,10,0,0.488,0.156,1.256,0.390,0.407,0.629,672.810
672,COMPLETE,0.255,3,315.000,0.6,6,,0.200,750.0,6500.000,2.0,1.500000e-05,0.080,1.000,0,10,0,0.255,0.170,1.361,0.204,0.241,0.610,682.490
673,COMPLETE,2.499,8,315.000,0.6,6,,0.200,750.0,6500.000,2.0,1.500000e-05,0.080,1.000,2,10,0,0.499,0.342,3.682,0.412,0.427,0.648,1141.497
674,COMPLETE,2.499,8,315.000,0.6,6,,0.200,750.0,6500.000,2.0,1.500000e-05,0.080,1.000,2,10,0,0.499,0.342,3.682,0.412,0.427,0.648,1153.204
675,COMPLETE,3.498,8,315.000,0.6,6,,0.240,750.0,6500.000,2.0,1.500000e-05,0.080,1.000,3,10,0,0.498,0.350,3.816,0.407,0.425,0.585,1179.041
676,COMPLETE,0.206,2,315.000,0.6,6,,0.200,750.0,6500.000,2.0,1.500000e-05,0.080,1.000,0,10,0,0.206,0.124,0.779,0.165,0.212,0.633,540.008
677,COMPLETE,1.376,8,270.000,0.6,4,,0.200,750.0,6500.000,2.0,1.500000e-05,0.080,0.700,1,10,0,0.376,0.296,3.002,0.306,0.290,0.654,1102.792
678,COMPLETE,4.599,2,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.080,0.700,4,10,0,0.599,0.160,2.028,0.527,0.434,0.654,607.420
679,COMPLETE,0.259,2,315.000,0.6,5,,0.200,750.0,3750.000,2.0,1.000000e-05,0.080,0.700,0,10,0,0.259,0.165,1.713,0.208,0.204,0.613,610.212
680,COMPLETE,7.911,2,315.000,0.6,4,,0.540,750.0,6500.000,2.0,1.000000e-05,0.130,0.700,7,10,0,0.911,0.108,1.143,0.761,0.708,0.594,521.575
681,COMPLETE,4.568,2,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.070,0.900,4,10,0,0.568,0.166,2.109,0.503,0.448,0.596,609.225
682,COMPLETE,7.801,2,315.000,0.6,5,,0.540,750.0,3750.000,2.0,1.000000e-05,0.070,1.000,7,10,0,0.801,0.160,2.176,0.688,0.656,0.561,601.691
683,COMPLETE,9.997,8,315.000,0.6,6,,0.540,750.0,3750.000,2.0,1.000000e-05,0.070,1.000,9,10,0,0.997,0.430,7.003,0.853,0.795,0.551,1210.405
684,COMPLETE,1.313,2,315.000,0.6,6,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,1,10,0,0.313,0.171,2.062,0.358,0.189,0.637,585.461
685,COMPLETE,1.313,2,315.000,0.6,6,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,1,10,0,0.313,0.171,2.062,0.358,0.189,0.637,584.635
