number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
18,COMPLETE,4.984,6,0.400,8,1.200,0.450,5.000,0.030,0.060,0.100,0.800,4,5,0,0.984,0.628,10.405,0.829,0.716,786.367
19,COMPLETE,1.447,6,0.360,14,0.800,0.320,5.500,0.050,0.090,0.100,0.800,1,5,0,0.447,0.634,3.952,0.374,0.370,814.046
20,COMPLETE,0.201,4,0.400,6,1.000,0.160,7.500,0.050,0.070,0.060,0.700,0,5,0,0.201,0.512,2.994,0.161,0.226,690.756
21,COMPLETE,0.207,8,0.210,7,1.100,0.330,6.500,0.050,0.040,0.060,0.300,0,5,0,0.207,0.504,3.804,0.230,0.167,750.336
22,COMPLETE,1.360,4,0.240,14,1.100,0.150,7.000,0.020,0.110,0.070,0.700,1,5,0,0.360,0.377,3.769,0.309,0.331,633.294
23,COMPLETE,0.242,8,0.220,10,0.900,0.400,6.000,0.040,0.040,0.040,0.600,0,5,0,0.242,0.549,3.840,0.251,0.132,767.301
24,COMPLETE,2.698,7,0.320,12,0.800,0.450,7.500,0.020,0.110,0.050,0.500,2,5,0,0.698,0.557,5.167,0.603,0.462,798.433
25,COMPLETE,0.210,5,0.220,16,1.200,0.180,7.500,0.035,0.050,0.070,0.400,0,5,0,0.210,0.427,3.825,0.174,0.119,653.085
26,COMPLETE,0.195,4,0.280,8,0.900,0.390,8.500,0.035,0.080,0.080,0.700,0,5,0,0.195,0.411,2.071,0.156,0.179,648.799
27,COMPLETE,1.423,5,0.300,15,1.100,0.290,8.000,0.015,0.070,0.110,0.300,1,5,0,0.423,0.495,6.039,0.376,0.297,686.220
28,COMPLETE,0.249,6,0.370,11,1.300,0.170,9.000,0.015,0.050,0.090,0.800,0,5,0,0.249,0.617,8.900,0.220,0.223,732.261
29,COMPLETE,1.623,6,0.270,11,1.000,0.230,8.000,0.010,0.050,0.100,0.800,1,5,0,0.623,0.488,5.705,0.514,0.468,669.104
30,COMPLETE,0.273,3,0.260,13,1.000,0.330,5.500,0.030,0.110,0.110,0.900,0,5,0,0.273,0.359,2.598,0.218,0.228,600.352
31,COMPLETE,0.223,8,0.400,12,1.300,0.260,6.500,0.040,0.090,0.060,0.300,0,5,0,0.223,0.735,9.948,0.209,0.214,880.466
32,COMPLETE,1.389,4,0.370,14,1.300,0.230,5.500,0.020,0.100,0.100,0.300,1,5,0,0.389,0.558,8.108,0.328,0.360,711.950
33,COMPLETE,3.728,8,0.310,11,1.200,0.390,8.500,0.035,0.060,0.060,0.500,3,5,0,0.728,0.608,8.313,0.658,0.568,799.479
34,COMPLETE,0.269,8,0.240,6,0.900,0.210,9.000,0.045,0.110,0.110,0.900,0,5,0,0.269,0.450,1.930,0.215,0.228,757.578
35,COMPLETE,2.804,7,0.350,7,1.200,0.440,5.000,0.040,0.100,0.050,0.900,2,5,0,0.804,0.606,8.818,0.741,0.566,818.611
